"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15"
"11",11,0.0113800731979342,0.0105686026777376,0.013081248993337,0.0182413105369379,0.0174293835700055,0.01751732495945,0.00348555691351149,0.00444592628609136,-0.00990778448549856,-0.00801802115519977,-0.0104667591360885,-0.00446077031834015,0.00709026684985807,-0.000602112506050499,-0.00130982711264452,0.00637772208336852
"12",12,0.0101733289500492,0.00632755040314338,0.0110336170155501,0.0138595619654011,0.0188184220388875,0.00572778929408418,-7.24831272697143e-05,0.00674682907057596,-0.00600722463023087,-0.00464652074532816,-0.0108884016356579,-0.0019745258031907,0.00383940197564011,-0.00531155251377274,0.000494036809973028,0.00792793851589994
"13",13,0.0104476113654242,0.00636786713389734,0.0138025676110722,0.0115194025894281,0.0121611311464354,0.0110901424697563,0.00451944492980494,0.00667859569138169,-0.00522889669528257,0.00204382326273892,-0.00990792766596782,-0.00340453592993883,-0.000201513056603313,-0.00335462810147482,0.000111643429452103,0.00360673346877201
"14",14,0.0105585929488838,0.0106197179028446,0.0152399378548382,0.0208321278179184,0.021726807479828,0.0144684239174627,0.00425775226524164,0.00799587075334078,-0.00910362813979175,-0.00541760468710013,-0.00941712872973467,-0.00107824730172409,0.00661920670947787,-0.000140652530713127,-0.000231876007488147,0.00633710964170894
"15",15,0.0100050968152662,0.00938146361981465,0.0178794848294905,0.0189766225736245,0.0222278232181445,0.0114643450432694,0.00462274344744135,0.00602253831987719,-0.0134381524190549,-0.00785672061924193,-0.0146968439801196,0.00232092845715865,0.00745918068927235,-0.00189857308105452,0.000930240053090718,0.00909850215909376
"16",16,0.0110234456027175,0.00566573362484419,0.0126583659091244,0.0165180013048064,0.0185450826509615,0.0119101533440014,0.00162260782475701,0.0110735643683168,-0.00814639433899005,-0.00423580964933658,-0.0105710394903991,-0.00411982188891096,0.00552758172064952,-0.00511360875663533,-0.000271895869980924,0.00831016797577292
"17",17,0.0144944246649875,0.0110665431090451,0.0184094759695943,0.0197886689369551,0.0242635464465768,0.0171695971276247,0.00527738359446321,0.0107917946739454,-0.00782620152452726,-0.000517961109770529,-0.00966845045321641,0.00106119060921883,0.00709008265843369,0.00216534631003569,0.00456156017080685,0.00722384556960356
"18",18,0.0108726068850352,0.00959775958358532,0.0146945696695354,0.0170135202824807,0.0197488509024162,0.0122489404832661,-0.000116065454132893,0.00988389215020067,-0.00951636816961439,-0.0030536499111275,-0.0142294085683062,-0.000477926411889428,0.00625254163319695,-0.00241666587265921,0.00248596261122806,0.00887285089416699
"19",19,0.0113346329616972,0.00841224131803986,0.0151806553225097,0.0199199980804952,0.0213030767333311,0.0190924834677858,0.00568836777287585,0.0125693296184229,-0.00967903198518453,-0.00527911671975329,-0.0157493860310673,-0.00705276115175202,0.000950528777352366,-0.00470103347822117,0.000214004264188311,0.00691080318363992
"20",20,0.0109310580628519,0.0108894004732608,0.016511020730907,0.0206287115836689,0.0237325394883708,0.0174540664544737,0.00709225155807263,0.00683334084285752,-0.0120778487713274,-0.00935717514443805,-0.0151732257215223,-0.000937111202187159,0.00545861250500358,-0.000925200428193105,-0.000647118612926864,0.00840442099195518
"21",21,0.0107136011966065,0.00703823887632135,0.0105273673801718,0.0169358156122347,0.0169423007439807,0.0159181088977976,0.00539395078335425,0.00937193374472802,-0.00592976189745996,-0.00563709557086097,-0.0133366029987649,-0.00727913175562146,0.00313016955199142,-0.0022129487440131,0.000784091518867348,0.00520435073239061
"22",22,0.00976295997903714,0.00839852524563302,0.0153737149077561,0.0176676889265612,0.0183567683540001,0.0119458498716759,0.000816248557193527,0.00290468338499312,-0.0136179492344101,-0.00671257451384848,-0.0121080853448423,-0.00336409929619234,0.0029028305040253,-0.00361316932309547,0.0024503171375029,0.00662270262344992
"23",23,0.0110034023881148,0.00504812688121511,0.0126567972466656,0.0131347263525331,0.0124522504760963,0.0123752877864519,0.00492748464844742,0.00538711656223129,-0.010948137429175,-0.0046874873178273,-0.0142866889545098,-0.00558253258067235,0.00131910472174289,-0.00385258644326429,-0.00159119711952843,0.00063460736573085
"24",24,0.0120020719505597,0.0108416981184329,0.0180194268763926,0.0208853846450269,0.026057526594012,0.0169985299731339,0.00726695235292339,0.0103764574469495,-0.00746142979432557,-0.00358051984849887,-0.0107478555981086,-0.000820671424654861,0.00784687022106669,0.00133028115142375,0.00394891422628501,0.00745978456512455
"25",25,0.0117148818500583,0.00859206759953106,0.0146794676229498,0.0177996688429182,0.0155676971734128,0.0183468980813258,0.00476483282180736,0.0111689399793227,-0.00402447481247765,0.00201495691822148,-0.00461216032289064,5.9931996289721e-05,0.00813731126950564,0.000526376744469107,0.00221559649060344,0.00660072284058049
"26",26,0.00782469437721043,0.00609660495649688,0.0148549682893318,0.0193126841242267,0.0202800078650723,0.0163381097735537,0.00522285861692513,0.00687574836957694,-0.00757283293959004,-0.00918737911503974,-0.0138375197183454,-0.00552105124224843,0.0036079487323985,0.000709645489464887,-0.0030490743807154,0.00988907850908624
"27",27,0.0110856342719253,0.00431063587175974,0.0157931254400041,0.0131589014086767,0.0126275449833979,0.00837751102223853,0.00359868473316871,0.00616422715049551,-0.00952635295678329,-0.00107183723243534,-0.00870538752527134,-0.00375532736348271,-0.000352930122520755,-0.00518632350599121,-0.00250618595904154,0.00382552165237959
"28",28,0.0144213445050876,0.0119144623133871,0.0164596996560141,0.0206405972074491,0.0232321267119532,0.0152109920306727,0.0019728500829732,0.00922602053598938,-0.0099622509108833,-0.00380137685995062,-0.0110374003822543,0.00304131614624148,0.0109882943787994,-0.00165788333944936,0.0038117285637842,0.00933840957975274
