"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10"
"20",20,0.00412526849663877,-0.00694975412181219,-0.00406448951006185,-0.00680443151720554,-0.00192864483312377,7.58545165238737e-05,0.00150374331407332,0.00899330186930367,0.000469544513295822,-0.000298857839870458,-0.00666754342639762
"21",21,0.00451129874658778,-0.00567250145450223,-0.00456243349011838,-0.00491769737371182,-0.00282480228410024,-0.000611086069589273,-0.000466613114488359,0.00492669128166944,0.00135167599094529,-0.000863601391499411,-0.00426298005094826
"22",22,0.00521719830192271,-0.0085854968399047,-0.00453275208323011,-0.00554801058077128,-0.00274647292474265,0.00248957436906208,-0.00224485298069475,0.0029877807774189,-0.00226456755700487,-0.000415820091039285,-0.00861692126210738
"23",23,0.00309479926090042,-0.00982881351217961,-0.00318870261628999,-0.00643744006562375,-0.00678457636421066,-0.00251959597036864,0.000146384411004534,0.00306684764656527,0.000181098444258889,0.000748544287788072,-0.00881316842814101
"24",24,0.00360671068564046,-0.00542584204186831,-0.00751973031968508,-0.00673471115907503,-0.000719228620140886,0.00131837001166068,-0.00363203455371446,0.00315658141186779,-0.000251457664595478,0.000830965922587134,-0.00559381159172484
"25",25,0.00778710314823591,-0.00888967819315702,-0.00255234989219813,-0.0124587471359187,-0.00174534721846913,1.40251959721205e-05,0.00385483764801708,0.00360168344767458,-0.00668436035942306,-0.00791923521232673,-0.0049843399401059
"26",26,0.00853040127737726,-0.00799608355941137,-0.00427987657203067,-0.00516438402295145,-0.00214705096681624,5.27425849138957e-05,0.00118618960772563,0.0062626934467336,-0.000348022840208255,0.00064209085548903,-0.00949980115838131
"27",27,0.00708191824385506,-0.00847006596273037,-0.00287366024689536,-0.00287711428410289,-0.000771961295334854,-0.000253669509471263,-0.000203469991804466,0.00232877904699062,-0.00245573861725645,0.00507119090716512,-0.00420578324912171
"28",28,0.0109288736743585,-0.00796973164425656,-0.00349204149399274,-0.0103343082146066,-0.000175461798172204,0.00108715065753259,0.0019668258469944,0.00361470119939348,-0.00212226227624777,-0.0030230464171474,-0.00756980068245756
"29",29,0.00839679705386701,-0.00583040248010728,-0.00301386259417155,-0.00548460114299918,-0.0013310482322752,0.00148584438954033,0.00111633973366295,0.00613843847999336,-0.00072469274232967,-0.00270143644428089,-0.00690590777755512
