"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12"
"23",23,-0.0171201104548475,-0.00845536720442939,-0.0181632627756181,-0.0145889561443457,-0.010223764376581,-0.0212577187600773,-0.0161539440574471,-0.00452964869506291,0.0135994355037551,0.010980485082379,0.0197676217513539,0.0193655267626341,0.0119989353713961
"24",24,-0.017029487806043,-0.0126314717393771,-0.0218315989081323,-0.0194069195936882,-0.0216728805077874,-0.0242640546384802,-0.0141363980629135,-0.00857327055240415,0.00634851604666878,0.00433975198823848,0.0092107788803323,0.0160960291184933,0.00452526929584079
"25",25,-0.0178599782945767,-0.0102953162462063,-0.0175327819502012,-0.016804686199431,-0.0130274579832033,-0.0283033635172561,-0.0168201740048218,-0.0146309205414459,0.00164245146466047,-0.00276434060491602,0.00296122424753688,0.0141101388071277,0.0063005054939291
"26",26,-0.0174334904332584,-0.00732969607007255,-0.0221764566827593,-0.0209169855555245,-0.0174843435408741,-0.0226518121104532,-0.00973588973766168,-0.0064766190111244,0.0111675244792109,0.0104740309029825,0.0128360432066636,0.0191197378503651,0.00674372410470465
"27",27,-0.0194858013985844,-0.00592623379684754,-0.0252646953204198,-0.0191524892370023,-0.0167958421577074,-0.0167174016806901,-0.0110281251231684,-0.00550961682867143,0.0111239317828801,0.000181053396467285,0.00591227401314183,0.0128051594888329,0.00901017664635994
"28",28,-0.0208004272518293,-0.0125369219334306,-0.0177825531780086,-0.0179650209080184,-0.0174674974913168,-0.0196930076490845,-0.00856245367634664,-0.00638295173685993,0.00908358599269279,0.00389929421414344,0.0127682311239658,0.0117757293404897,0.00309538718781831
"29",29,-0.0198562229358068,-0.0111755344524334,-0.0167818567711776,-0.0191317749940366,-0.0125534063193339,-0.0259759737336792,-0.0145439890569206,-0.00743385243729448,0.0113512078108951,0.00651045198720053,0.0121808271208344,0.0154668647006777,0.00554640932299164
"30",30,-0.0164373961194693,-0.0155522376203837,-0.0248210343985922,-0.0269167167194312,-0.0200031221271487,-0.0298817612451747,-0.0115257973688137,-0.00154540700239593,0.0139962493074266,0.0089369627350778,0.0130548280443636,0.0195450638890018,0.00461571240362054
"31",31,-0.017347485744508,-0.00288360754004422,-0.0146864898736929,-0.0157184132542683,-0.0168919182578457,-0.0187027157719831,-0.0072251382396288,-0.00220309070446508,0.0112279379002018,0.00558161159594474,0.0165314780308338,0.0159164898167162,0.00536774458486161
"32",32,-0.0132918471548114,-0.00501712389225054,-0.0179508305415881,-0.0182084314029034,-0.0132808404305546,-0.0241711006737054,-0.0106198478015592,-0.00605200253835805,0.0135945497419987,0.00766958572848699,0.01602479719553,0.0170233422297683,0.00463675945416333
"33",33,-0.0192437159221021,-0.00946670142242825,-0.016391817368742,-0.0162520146820555,-0.00894165548442128,-0.0149042834356199,-0.00396856613744285,0.0072186918582399,0.0164354770320557,0.015510758348822,0.0146564668927564,0.0178906308049447,0.010489335236175
"34",34,-0.0161491990237259,-0.00925496045693166,-0.0132141621464916,-0.0170291733140036,-0.0119529402949176,-0.00973856942128055,-0.00423582427719792,-0.00296128167171445,0.00814117504557743,0.00295512773960041,0.00296258636574013,0.00748379187858403,0.00502998026786119
"35",35,-0.0284928467800237,-0.0156623411952584,-0.0270411288238604,-0.0217989702455679,-0.0180751991057489,-0.0297528343448519,-0.0154770983001878,-0.00572039017684202,0.00885658052151875,0.00653701365932691,0.0120536894372435,0.0171953985395432,0.00691249422948014
"36",36,-0.0125766750911242,-0.00683371044780258,-0.0146386344949667,-0.0165529211168069,-0.0158055865053706,-0.018927538102879,-0.00975443538160766,-0.000881764487788918,0.0165484740693697,0.00981610734089011,0.013901089454028,0.0151259449430715,0.004285530331929
