"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18"
"42",42,0.000586908421429381,-0.011759261717598,-0.00561968042758065,-0.00567197756415588,-0.0025490755215039,0.000521821962888314,-0.00671962900752207,-0.00646119706673674,-0.00764439048523286,-0.00804146411227433,-0.010466599166683,-0.00777494820446754,0.00512850019470558,-0.000433314323527382,0.0106715430330733,-0.000566863118787198,-0.00866014349076262,-0.00180380540805633,-0.00263496153678303
"43",43,-0.00120310763633813,-0.0106686863707043,-0.00592576500442786,-0.000924163060421516,-0.0027168593606823,-7.81669069188147e-05,-0.00844543652962688,-0.0052386841629777,-0.00497462884008319,-0.00583922955563545,-0.00783120552604,-0.00167906466386715,-0.000748837018284336,-0.00324007691663947,0.00300335306266687,-0.00252981317615772,-0.0111675612283873,-0.00744937278152153,-0.00460851735886847
"44",44,0.00432243954118867,-0.00865169986028451,-0.0019785564945757,-0.00793723316373659,0.00218130710311405,0.00325451365079239,0.00284853200163608,-0.00569293578472274,-0.000709968659802799,-0.00187849603461148,-0.00200406726794692,-0.00426828225957132,-0.00215837616301165,0.00495615514074711,0.00667340618644519,-0.000616668458400811,-0.0103181530839235,-0.00431275925367562,-0.00392953093296653
"45",45,0.00270988025445023,-0.00988998135660403,-0.00447212455689086,-0.00691012398105489,-0.000505482092511379,0.00290180921144891,-0.00362414109593446,-0.00668929154143954,-7.76561087871198e-05,-0.00352707526689602,-0.00505578180477408,-0.00524251445908566,0.00298592593408448,0.000221033144949792,0.006087308728196,-0.00225533367077161,-0.00668102510749861,-0.00722095719730951,-0.0033542461928836
"46",46,3.77296433821897e-05,-0.0116317096225457,-0.00250128716500676,-0.00941468565373981,-0.0033628975279783,-0.000154415980878611,-0.00754226745041127,-0.006209999018606,-0.00246473182544275,0.00263360202627338,-0.00429458407332216,-0.00295615608867012,-0.000884153981182836,0.00327234699239536,0.0082949916640729,-0.00258097277086018,-0.00898729467263482,-0.00474905845399424,-0.00197582036793986
"47",47,0.00173405644431831,-0.00906960927632238,-0.00541920163459525,-0.00470720578255816,-0.00163039323312878,0.00312732662772679,-0.00802965073490553,-0.00488607149619704,-0.0028504050549631,-0.00188454019508165,-0.00706226371228754,-0.00402625176965254,-0.00112826952116055,0.00663021184131794,0.00553261632239643,-0.00396040631236296,-0.0118032802480554,-0.00369260075938217,0.0013761896622105
"48",48,-0.000325291081547014,-0.00734899257035472,0.000760550713778755,-0.00293502285531772,0.000962137840166936,-0.000360462911439343,-0.00329639206659563,-0.002097151380382,-0.0018394246353947,0.000359385252832215,-0.000761733488746276,-0.00170251162660577,-0.00321848773741809,0.00961271515544239,-8.38515249177581e-05,-0.00448498278098784,-0.0123071042960387,-0.00270162564304441,0.0014140299536504
"49",49,0.00223067737097096,-0.0134499538765666,-0.00166080411298364,-0.00502830802011034,-0.00366411984301648,-0.00454814367323158,-0.00384767252724184,-0.00317492288119061,-0.00440347367515196,-0.00364392855024349,-0.00208340244037258,0.00264222737906353,0.00117757776192191,0.0021760541479448,0.000410024641439867,-0.000267647775382474,-0.00378475136837318,-0.00721362985675959,-0.00296155357272775
"50",50,0.00432126036615269,-0.00944652186948129,-0.0052620788941297,-0.00739551194911326,0.00365650941182673,0.00308443750014478,-0.0054421483569277,-0.00403645961790518,0.000999493293948826,-0.00303100265365795,-0.00741091575302441,-0.000378154812315902,-0.00283983238744653,0.00358474609855227,0.00726060723580187,0.000403171126794145,-0.00420421598202559,-0.00599930258219502,-0.00286648416239256
"51",51,-0.00289361735499604,-0.00716923108181131,-0.0100673162194612,-0.00179398949851736,-0.00582839368259679,-0.000439722205420258,-0.00538444552646161,0.000219763342556587,-0.00507963539068074,-0.000692326137515064,-0.00869648391923893,-0.00226304136013674,0.00441690212171455,0.00463448649463473,0.00504838819154262,3.0555191136206e-05,-0.0100458969362787,-0.00584265606702606,-0.000862744125463833
