"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11"
"35",35,0.00594359455368862,-0.00353839695560764,-0.00383114673320506,-0.0107513505593205,-0.00765551702111146,0.00252254249339457,0.00160500753026773,0.00430966543872351,-0.00153758902127154,0.000363986834705136,-0.00906400208584475,-0.00597124469517987
"36",36,0.0081775781443764,-0.00372005217081784,-0.00513263541960595,-0.00476069833605352,-0.00254190503861678,-0.000570273194860334,-0.00318727681400885,0.00360867490228744,-8.87148281049805e-05,0.00681600803034237,-0.00404439243814213,-0.00654663894565498
"37",37,0.000693986834471611,-0.00344791877372059,-0.00716969632822093,-0.00577100797870873,-0.005184772108894,0.00256373752370509,-0.00212377705546905,0.00419269736132996,-0.00091482126399618,0.00234134486887283,-0.00559351053952062,-0.00189989657764983
"38",38,0.000733490485033014,-0.00421356647726031,-0.00849061752859051,-0.00464584092653222,-0.00225069678866703,-0.00119694973588952,-0.00370369897971177,0.00428595020252479,0.00206251563698066,0.00108189670061311,-0.00389746010437659,-0.00140983103730526
"39",39,0.00167416032517951,-0.00114249074804232,-0.00830084400437233,-0.0027075123123202,-0.00529660519679541,0.00227770457409691,-0.00533592201284757,0.00604823768906743,-0.00324592473755411,0.00465460018446131,-0.00425376136609888,-0.000884130266696907
"40",40,0.00350697505681192,-0.00306770151945805,-0.0069280346147375,-0.00606264917845461,-0.00717614459034967,0.000466613958974281,-0.00399648748328398,0.00673875084866326,-0.00127194054226493,0.00474548771292708,-0.00587376450014842,-0.00410157151040268
"41",41,0.00820352411709605,-0.00558398769528871,-0.00303324066797587,-0.00379643521236549,0.0011811470563488,0.00151958430592472,-0.000263407825320391,0.00717557349304002,0.000482839609024623,0.00411378490369624,-0.00211770881654242,0.000558698385694719
"42",42,0.00346868988061749,-0.00863879587444095,-0.00572185406933086,-0.00625476472512561,-0.00308697729421206,0.000248060242970465,-0.000866746133982167,0.00482738937783733,-0.000914105528550497,-0.000295230134778177,-0.00731143718101314,-0.00565182472840856
"43",43,0.00406826621919707,-0.00677461823643234,-0.00600074395535913,-0.00313563200860597,-0.00308144528071831,0.00261143508515317,-0.00330436170979858,0.00688290613841436,0.00184404012277518,0.00371669326082194,-0.00673699059715658,-0.00110407474099002
"44",44,0.00661852842673438,-0.00363095426977937,-0.00473492374185642,-0.00519628023402863,0.00113058748503739,0.00276037787499392,-0.00032899213558896,0.00438120105663667,-0.000788107029942443,0.00299479528832981,-0.0035028712656507,-0.00249486071240842
"45",45,0.00264876367779309,-0.00341427444680907,-0.00855849179317686,-0.00352615163445194,-0.0049382708719982,0.00279597433095639,-0.00434819322256182,0.0045274677545175,-0.00158285539996784,0.0056368467665564,-0.00483873775263644,-0.00307991918754333
