"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14"
"35",35,-0.0237896036196045,-0.0129134422169469,-0.0239826852073345,-0.0208271237871949,-0.0197785395846639,-0.0264128444668505,-0.0131839260202811,-0.00850138147705257,0.00329214874459918,0.00601832418338558,0.0159434726834173,0.0185423144982777,0.0135610940784067,0.0162704596079657,0.0207252102424512
"36",36,-0.0122368383908375,-0.00476259222060689,-0.0108419778482019,-0.0124168646614732,-0.0114642059054071,-0.010657158141013,-0.00650313567812846,-0.00193048925345143,0.0138821686735808,0.0101647462521975,0.0178324826831608,0.0163147361511835,0.0126991843036375,0.010274161724956,0.0110022431970489
"37",37,-0.0119038216989055,-0.00851275343125455,-0.0162089430564812,-0.0153083787013726,-0.0188680802250643,-0.00906667201322738,-0.00991028667624255,-0.00430505884737931,0.00411650422095835,0.00762443690751221,0.0161472250574933,0.0108515205169195,0.0191708082396044,0.0165819826623653,0.0205405924347515
"38",38,-0.0158063714211177,-0.0151376131674398,-0.0170543269790417,-0.0165208294989897,-0.0188179462370657,-0.0106008946606548,-0.0081407826162493,-0.0114026604846708,0.00188740518526219,0.00622021675389945,0.0134013492001101,0.0140912745022594,0.0146416725379418,0.00974799861058404,0.00892887737961719
"39",39,-0.0151843078829782,-0.00746334879083798,-0.0134954859331893,-0.0126632366054156,-0.0135569133931122,-0.00962450480702273,-0.00398836876463089,-0.00214444481647063,0.00856448776051679,0.00824240895960249,0.00942721690623105,0.0106413521064991,0.00437936855190459,0.00736435142518062,0.00465125971463711
"40",40,-0.0141235260329402,-0.00976558251630273,-0.0167753536075624,-0.0173964606482895,-0.0169970571103634,-0.017106681204675,-0.00885900377206662,-0.00569620313581328,0.00741142455678411,0.00794477873056448,0.0148027472396912,0.010882335385709,0.00773380943992025,0.00670546049554861,0.00837936338044615
"41",41,-0.0173079576617593,-0.00994975181572552,-0.0119207811413363,-0.0161154514083979,-0.0150101098554466,-0.0105764596911429,-0.00625563392775239,-0.00961923131437363,0.00511673001425328,0.00461614522577775,0.0140049385378296,0.010776040681017,0.0145433857340985,0.00796261173313801,0.0113989473087827
"42",42,-0.0225366510025324,-0.0146152847009623,-0.0262971518827263,-0.0222582012799643,-0.0248098404642213,-0.0107209186862863,-0.0048910076429654,-0.0122399132220059,0.00770991269350778,0.00649165116577343,0.0195398664821069,0.0183901064599594,0.0128002930882171,0.020066764825465,0.0117968251983514
"43",43,-0.0125979021544365,-0.0114664975771658,-0.0133810366510081,-0.0158349153248212,-0.0135629652584534,-0.00948714983739156,-0.00566380724723093,-0.00871129900710543,0.00832840594401538,0.00989983108623637,0.0172403431615571,0.0196738103639973,0.0183979413867687,0.0165433793258089,0.0140695062072219
"44",44,-0.0251871581039751,-0.0134811705299835,-0.0171345970369152,-0.0176539178835501,-0.016170040585218,-0.0138746652300279,-0.00655093253973975,-0.0093636653643961,0.00287127378192608,0.00118385251106577,0.0090608810917728,0.0114918553216366,0.0160197343573992,0.00602387004822156,0.0161119636254931
