"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16"
"31",31,0.0071508629223774,-0.00649910919576664,-0.00121757572946157,-0.00328555960857445,-0.00167572386621291,-0.00513883299461604,-0.00369010989496721,-0.0007102045561759,-0.00294101826600467,8.53066137324644e-05,-0.0020950120089903,0.00342810344428441,-0.00150834946601501,-0.00527386455254153,-0.000344510131345031,-0.00347538023874333,-0.00613570925883606
"32",32,0.00345112251907212,-0.00844821219963662,-0.00267371235022803,-0.00498683777346662,-0.00606889676216095,-0.00208887255357168,-0.0054058506158767,-0.00220339641313316,-0.005119626741548,0.000903179881537387,-0.00236243826769551,-0.00117412684994559,-0.000397461690394188,0.00518047947188452,0.00594950180889321,-0.000890588846759933,-0.00753801274229442
"33",33,0.00318903895293923,-0.00791208106534223,-0.00206938262117145,0.000962795341285953,-0.00470731363455879,-0.00088393165376794,-0.00627048149101452,-0.00278767940343184,-0.00101282698078492,-0.000171220192001277,-0.00215898794559738,0.000138869429465484,-0.00421155376580166,0.000905390761602062,0.00250586544872105,-0.00302384160412908,-0.00791980442372885
"34",34,-0.00317454224344426,-0.00592097440142223,-0.00797826494409917,-0.00303288594940982,-0.00119185064819695,-0.00197295735230935,-0.00511176338948171,-0.00253355946630235,-0.0061283612533633,-0.00537877016406636,-0.00817865929927753,0.000277045172449363,-0.00241100009783044,0.00351573896811784,0.000237544365663769,-0.00244464839749306,-0.00939691373235456
"35",35,0.00396880880675129,-0.00641888973750813,-0.00471563477909986,-0.00720540645188217,-0.00814877579293964,0.00225732148744531,-0.00203521584436141,-0.00100790921375153,-0.00664588010921129,-0.00342405097273517,-0.00941336908988208,-0.0030736774789215,0.00153941465326836,0.00458416688824656,0.00435978142091824,0.00568188838190787,-0.0121781045322346
"36",36,0.000901292096276581,-0.0036303696347692,-0.00528526260380939,-0.000817623626164535,-0.00264206186583745,-0.000764010542569237,-0.00827880200261677,-0.00180478665103045,-0.00290832064090362,0.00288361259537507,-0.00464597068451783,-0.00153109409273915,-0.00424534780332669,0.00237054978650424,0.00309383177039265,-0.00280297588243705,-0.0087592557747949
"37",37,-0.00316682923060782,-0.00637924238200853,-0.00863930503512131,-0.00355693715789103,-0.00340294629415654,-0.000594855829514721,-0.0051413963466229,-0.00234938406073709,-0.00307861803441556,-0.000692996582956345,-0.00774449462311731,0.00475904217351519,0.00391572191426435,-0.00105604614610277,0.00571897760216403,-0.00111768919964584,-0.0118584275002513
"38",38,-0.00611370232063653,-0.00578833920355024,-0.00740817624752796,-0.0026808516854451,-0.000941269409841012,-0.00222796158172859,-0.00706981992246634,-0.0026192837670372,-0.00198260961619297,-0.00332805790227681,-0.00329181858034729,0.00114033213037431,0.000405896253865676,0.00164400371839092,0.00401172975775439,-0.000593316415496276,-0.0121161577423723
"39",39,-0.00186441724941242,-0.00209264765751728,-0.00890533364776936,-0.000782220571181103,-0.00582958457328271,0.00160810177100437,-0.00913717267429438,0.00211000308276448,-0.00537288820743288,0.00154195546928338,-0.00550533133007722,4.52899133142164e-05,-0.0014151302046309,0.00226972478383651,0.00874277189931975,0.000549930602557596,-0.00659349596212147
"40",40,-0.000200031113340267,-0.0041625785028274,-0.00622755479342629,-0.00316271255117041,-0.00788004341178224,-0.00100097013486605,-0.00802261984702407,0.00176850829279331,-0.00474339070935466,0.00153060746268685,-0.00741564089624717,-0.00175709008745324,-0.00267011773436235,0.000505892623511548,0.00202945261136977,-0.000582369876793946,-0.00919268191178633
"41",41,0.00457801038561704,-0.00738196582024946,-0.0021602653841743,-0.00346615163177841,0.00161607426977573,-0.00250882686974041,-0.00156591165421253,0.000171719721009603,-0.000328427383373227,-0.000347587943889436,-0.00128415052573876,0.00296222105595818,-0.00107827458391783,0.00233890339914505,0.00382932951195312,-0.00238167830469303,-0.00638696870032765
"42",42,-0.00239293889285125,-0.0111467538215454,-0.00708185378553373,-0.00211289767160943,-0.00246012393213874,-9.62545462658352e-05,-0.00753220886804579,-0.00237228070983905,-0.00722345080227222,-0.00459610011277205,-0.00870594721494882,-0.0019431928044463,0.00295204225518128,0.00290147550560333,0.00808578326718548,-0.000353446647673449,-0.01158505731472
"43",43,-0.00173608437899736,-0.00843713339386594,-0.00630641973566777,0.00104194482170455,-0.00325788188634988,-0.000443564976505058,-0.0105302048350978,-0.0019474218431074,-0.00516670329637537,-0.00225778547132318,-0.00686994697991257,0.00335378416662608,-0.00248559326581446,-0.000870733442189185,0.000966769852963012,-0.00236936726855347,-0.0138779839804911
"44",44,0.00253776033072277,-0.00461819489550923,-0.00448439955612534,-0.0049937245685756,0.00211081213949565,0.00121426180524183,-0.000193547291387917,-0.00140949687220634,-0.000693529733321536,-0.000252148697624272,-0.00193620263200435,-0.000426254660661122,-0.00347520325270183,0.00576556026623088,0.00429550407957686,0.00276740811158736,-0.00917181967402679
"45",45,-0.000968658749728769,-0.00474031522443322,-0.00962072521722855,-0.000464905690368406,-0.003425990370288,0.00215772449496247,-0.00685800590557797,0.000528807889350753,-0.00316583825542219,0.00120726231701665,-0.00485603579423208,0.000428059414868073,0.00100517214388832,0.00322853523391913,0.00241141431167062,0.00175100763887459,-0.0110631536552424
