"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10"
"33",33,-0.0185654401191677,-0.00787737493454951,-0.0156191862834902,-0.0133142444459286,-0.0101721120595473,-0.00976903130590233,0.000474608963371747,0.0064374551152223,0.0175933686716684,0.00969315696024841,0.0134455471979125
"34",34,-0.0152861263854768,-0.00795346918017264,-0.011780405005874,-0.0145148132766915,-0.0118104449559443,-0.00626308551281663,-0.00126986417522111,-0.00244976895816932,0.00872365504329632,0.0011464052270169,0.00255971150406758
"35",35,-0.0270342048196335,-0.0137555420694948,-0.0239161238753769,-0.0192259385371864,-0.0187289084192986,-0.0237239533293698,-0.0114090602810038,-0.00485384210741227,0.0100151037099119,0.00262745054322572,0.0113628274606459
"36",36,-0.0130499796306335,-0.00767398948019373,-0.0158932744680986,-0.0150639184457837,-0.0164540287367837,-0.0138777072013277,-0.00758216224461955,-0.00230446491858562,0.016639933563794,0.00429065778803599,0.0129225809008106
"37",37,-0.0156110448120488,-0.0108002019652434,-0.0189551698862299,-0.0167868432778082,-0.0177920349631406,-0.0119731263168784,-0.00798688485773032,-0.00190667959936346,0.00920696264594118,0.0056915561407138,0.00896017088410256
"38",38,-0.0151863958639032,-0.0140375066567079,-0.01676501516863,-0.0166174229003764,-0.0188796906170575,-0.0111632315111353,-0.00548905985964941,-0.00908748978302264,0.00559182517068446,0.00329997937016536,0.00874306658659776
"39",39,-0.0132840955543341,-0.0069927906023379,-0.0141220055204193,-0.013410337659805,-0.0145376912305386,-0.012466810810408,-0.00508407104729742,-0.00168082440847346,0.0107342559397585,0.00539759946123774,0.007612842293522
"40",40,-0.0135150011684515,-0.0100580571984287,-0.0178576001882502,-0.0176583539187496,-0.0177482050856147,-0.017531173127014,-0.00856776124036376,-0.00484692198840989,0.00988550693254818,0.00473125497249944,0.0113927243492217
"41",41,-0.0202053306622127,-0.0131270838231131,-0.0194603551810059,-0.022168659994241,-0.0221817630013343,-0.0165564245689726,-0.00655725052481634,-0.0104318734202,0.00738032499632147,0.00017390028248387,0.00762410850934099
"42",42,-0.0232314352584736,-0.0164166049375339,-0.026171902159102,-0.0228531004171298,-0.0245606753775221,-0.012159680105056,-0.00467640967848572,-0.00816761330116371,0.0114140635683697,0.0023320740186355,0.0147409328413653
