"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17"
"20",20,-0.0175077617622147,-0.0101080295184718,-0.0143309509771527,-0.00990824475267382,-0.00931587335136771,-0.015440458090389,-0.00752949864757222,-0.00435541838156396,0.00545079283980832,0.00476577401778924,0.0162905388623452,0.0254208265621565,0.0200926891391346,0.0176252642620288,0.0219983860602593,0.0175447588145775,0.000389831988729648,-0.00678420708134745
"21",21,-0.0155767140957969,-0.00534494271265243,-0.00752618790598305,-0.0116014104032727,-0.00525761480670185,-0.012659360502152,-0.00567056935375368,-0.00744005250527758,0.00355164340169265,0.00418392707989155,0.0162781255454088,0.0256818435075834,0.0215682892844432,0.0147511041585205,0.0171275245956368,0.012570132910061,0.00890708659608439,-0.0063076202480715
"22",22,-0.0136239134342377,-0.00652222285614934,-0.012169113068385,-0.0131637863427157,-0.00952359041068539,-0.00741585399164514,0.00254314887474671,-0.000138642392487482,0.0142788542690849,0.00466679380585302,0.0158263781268406,0.0248555262672116,0.0213074748993311,0.0207905848739164,0.0147300662454902,0.014164245401634,0.0105342675920766,-0.00930116420013888
"23",23,-0.0147301101809995,-0.00240185134479561,-0.00789033083249174,-0.00474398648668044,-0.00181638996134013,-0.0100654659522444,-0.00995960044607918,-0.00500185191376333,0.00887028262517342,0.00719978894622819,0.0204576549722785,0.0263614669366608,0.0244327721785155,0.020641281370541,0.0238255836498505,0.0188871383377465,0.0159304048293561,-0.00405255572724519
"24",24,-0.0189165546897478,-0.00942392079472447,-0.0140259943484232,-0.0120693425439747,-0.0137964723412861,-0.0111501088274248,-0.00133489453558268,-0.00601104112834686,0.00178903055540339,-0.00256748850609427,0.00894705272258482,0.0210753148495124,0.0164573748811422,0.0143596560843493,0.016499295706287,0.0149053650282611,0.0098011893637563,-0.0044392913445377
"25",25,-0.0159787487905755,-0.00832032011620012,-0.00911280372286891,-0.00933710349966057,-0.0021128228687317,-0.0141733864963294,-0.00565585758734405,-0.0127514746113774,-0.00325957248690829,-0.00720234432164232,0.00228575189689903,0.0201887417806678,0.0208401314938751,0.0209112345982504,0.0237725737732748,0.0157866995308128,0.018183373880153,-0.0049994492937419
"26",26,-0.0161959916509637,-0.00692690278662599,-0.0150525664374035,-0.0170257179222792,-0.0134354290445392,-0.0142503293588149,-0.00440552976574435,-0.00904152281385705,0.000446652563022275,0.0036364509327284,0.0119016754797907,0.0224547449888898,0.0196211167326814,0.0142647784067509,0.0221463517306972,0.00691066337633158,0.0120984260374833,-0.00907074031783358
"27",27,-0.0180253733029176,-0.000920656774374033,-0.0144275746784922,-0.0106150249395537,-0.00835295138520638,-0.00435073223066443,-0.00348290887527306,-0.00857676233484013,0.00539019897188618,-0.00243988359043982,0.0100627744236296,0.0205339983281269,0.0230181905827166,0.0215511186781644,0.0191917457391916,0.0102669039144226,0.00665512560954216,-0.00560596164452182
"28",28,-0.0203393161574182,-0.0111784333342834,-0.0114434263671216,-0.0100119694474536,-0.00934818341571861,-0.00862514216013362,-7.04652747840634e-05,-0.00960678705569273,0.00320090484629013,-0.00103531277484892,0.0119138139441536,0.0196750781898269,0.016002375115295,0.0234623976697109,0.0169082836154719,0.0121067930415135,0.0134025073528007,-0.00506707041901485
"29",29,-0.015550415918269,-0.00647499213494337,-0.00589728252936775,-0.0100000100813867,-0.00343141364724039,-0.0128141711193519,-0.0037532982709505,-0.00425140918189345,0.00774076592272251,0.00526566234312122,0.0147116513003288,0.0221745922205734,0.0185951135006924,0.0205178820240762,0.0239054243809633,0.0120781170081152,0.0136587841316817,-0.00114942139001685
