"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18","coef_lag19"
"15",15,0.00428646872394972,-0.0152092858177385,-0.00501716363297542,-0.00980646241979169,-0.000844735687521618,-0.00458975647086807,-0.00411028000347944,-0.00529789837285582,0.00376555673946056,0.0018183973994034,-0.00417060124009024,-0.00454625322733102,0.00300229897941208,0.00361434008663225,0.0106822277132255,-0.00529809641019442,-0.00839709882800822,-0.005916736934678,-0.0034674654764333,-0.00397217366624758
"16",16,0.00245549039754712,-0.00961913109358138,-0.00479567996541464,-0.00595184180412932,-0.0030453499378462,-0.000786821605001667,-0.00559183558034226,-0.00581991699202861,-0.0039677210756532,-0.00812484715912581,-0.00389691261777736,-0.00887568109167212,0.0037521686085531,-0.00298267480583135,0.00938202467438003,0.000248650887784037,-0.00833415590169298,-0.0097204289114772,-0.00324339076445448,-0.00403686112448996
"17",17,0.0025477496118382,-0.0114957249528147,-0.0039343154700251,-0.00949164238194533,0.000908888006214878,0.000351128714730617,-0.00122447856591131,-0.00443621055599332,2.23528133354246e-05,-0.00138439315743707,-0.000866974899719291,-0.00269713404743629,0.00214624788048655,-0.00444518297067149,0.0108894167105837,-0.000175723562308594,-0.00765169721681655,-0.00569732502853838,-0.00508152080947107,-0.00253035039152796
"18",18,0.00447745867676971,-0.0146015157546091,-0.00380602427225061,-0.0110442375030108,-0.000629107329760968,-0.00326404962200427,-0.00506798131753148,-0.00851934497734067,-0.000435036045838383,-0.00664096198184023,-0.00323022925556754,-0.00533075658830318,0.00418451407292374,-0.00310906052653078,0.00983925192969731,-0.00398457723835549,-0.00581591614853832,-0.00602917478524341,-0.00430733926295261,-0.00110210200938091
"19",19,0.00150010875479074,-0.0114617492884323,-0.00313064452624055,-0.00763284588805735,-0.00141391035410019,0.0034125802777156,-0.00247444955054296,-0.00446449464205242,-0.00261199917339791,-0.00512975159479453,0.0011227123173541,-0.0045628388345603,0.00336588175368272,0.00354674632201076,0.00488102929413999,-0.00588165735263245,-0.00273433778745673,-0.00769780890962632,0.00549790657968085,-0.0104232143796279
"20",20,-0.00635262450618859,-0.0046727157510952,-0.00667632846442878,-0.00712900961228105,-0.00234107621956348,0.00458037874682789,-0.0046132323761402,-6.57599371622364e-05,-0.00102174125971801,0.00141953460996759,-0.00258350753380989,-0.00178424766938736,0.00823816553553778,0.00219847639202032,0.00756552518255307,-0.00503325292697775,-0.0112429660041062,-0.00550948163956382,-0.000473473948162348,-0.00188575631440832
"21",21,0.00105983076980896,-0.00614165661703026,-0.00643507150285809,-0.00536865101019821,-0.00682398447151789,0.000798775606026458,-0.00571541488970282,-0.00440697197407739,0.00087456599125263,0.00229344308031466,-0.000585268990670983,-0.00152532935605258,-0.00147891069940669,0.00499254559738058,0.009172255301065,-0.00379484189105435,-0.0058040611633531,-0.0015958988313419,0.000255862170144198,-0.00495044642680714
"22",22,0.00274591209566568,-0.00991133040726614,-0.00406034527058548,-0.00476381905427423,-0.00604720544099861,0.00477518607564936,-0.00764239144623406,-0.00515360405625965,-0.00396961193133224,0.00247100707946234,-0.00503916416006884,0.000215266529947816,-0.00486168850830193,0.00214508979925257,0.00808212732245323,-0.00296091457431752,-0.00774478710495406,0.00267014724885213,-0.0028833183673049,-0.000559188500972984
"23",23,-0.00140835861206723,-0.0101329842290745,-0.00511874909371306,-0.00678925562626791,-0.0111511044190416,-0.0029206296133096,-0.00479274808891042,-0.00572378491827211,0.000551267556118573,0.00268259728834502,-0.0031573403665505,-0.00106648382026092,0.00539611055664275,0.00535327219502874,0.0134138320578408,-0.00224757354387963,-0.0017011939111505,0.00341533127221542,-0.00554667026472094,0.000145262244711944
"24",24,0.000761447807142139,-0.0112490667093259,-0.00368903406338042,-0.0138058237717817,0.00482720515799112,0.00121181221297141,-0.00657567586413317,-0.00591189832197734,0.00441349191347838,-0.00368991049492588,0.000261350257789875,-0.00648059841300364,0.000951929219688487,0.00188474722641225,0.0122910546537279,-0.0026122388019139,-0.00598428277955978,-0.00869546337949289,0.000133101455949194,-0.00647463190182642
