"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16"
"11",11,-0.0134182994513516,-0.005273883067926,-0.00525279126621523,-0.00639992185697279,-0.00415232419891155,-0.014933054734755,-0.00451056801147824,-0.000500638244616624,0.0102026439840869,0.00976410174603391,0.0144492734287136,0.0264201944452526,0.0190035386184438,0.0198861744994144,0.0279697959390502,0.0192293254131921,0.0161753310608221
"12",12,-0.0141256041191393,-0.00363380472014354,-0.00578751204241586,-0.00586097371181889,-0.00858397121858545,0.000197656730002862,0.0036940907907165,-0.00789566210420973,0.00312502434166852,0.00483627235451261,0.0124521446734298,0.0216098078235069,0.0181208960270724,0.0253662599101692,0.0193875845698764,0.0109217569231455,0.0122257351275456
"13",13,-0.0180598458862197,-0.00654531145090999,-0.0158160021764781,-0.00474102776285241,0.000481774458599624,-0.00845784646556257,-0.000697329768490895,-0.00378545104812862,0.00325579887069491,-0.00655488765101996,0.00922386199985993,0.0212557466153998,0.0233994687132279,0.022298377016044,0.0206412548577609,0.0159802695719157,0.0133817905509137
"14",14,-0.0145314769063996,-0.00779638231724049,-0.0105331051277284,-0.0138448191039362,-0.0118889574811629,-0.0106877904596451,-0.00711909304741265,-0.0123166209375419,0.00558722856643341,0.00509968002382838,0.0102774758473179,0.0225581812157883,0.0195685258086147,0.0202560656782749,0.0181612857678303,0.0123973317573483,0.00758678425215397
"15",15,-0.0114648480067201,-0.00469270367849882,-0.0119929714800368,-0.00744312983561259,-0.00740344457099792,-0.00188365699166353,0.000487537091555526,-0.00443290930971958,0.0121848161016057,0.00872239449360994,0.0211858986940648,0.0201060698097071,0.0181397247279358,0.0227099032442126,0.0218367580142654,0.0117942941650926,0.00968213848061483
"16",16,-0.0175637440324211,-0.00109252436874278,-0.0093464374068627,-0.00757200237570785,-0.00444955787161132,-0.00370426048309072,0.00659954972658207,-0.0123211930947654,0.00624578367090848,0.00124958379873611,0.00961344714093644,0.0259269434787491,0.0191011861617289,0.0272048748610988,0.0221451233111098,0.0130796448581828,0.0137118685513381
"17",17,-0.0218948708444099,-0.0122897488275204,-0.0198921324982203,-0.0172686264599713,-0.0203586559426864,-0.0149457604284605,-0.00323334797139891,-0.0146583436805355,0.00494056588620752,-0.00319687537367156,0.00986345229661442,0.0142102833273739,0.0125936167944329,0.0147999322198297,0.011105246488652,0.00819896875731765,0.0100259092149046
"18",18,-0.0146274526646381,-0.00503329144453201,-0.0121211808250537,-0.00817958929310338,-0.00826784089424716,-0.00386888460520106,0.00433893786387189,-0.0105594620803719,0.00748884861204034,0.00101471159842975,0.0195911672671682,0.0179480124550114,0.0177901368566048,0.021119687360586,0.0146715988419916,0.00719534651041345,0.00670814636474559
"19",19,-0.0191584903762628,-0.00601340574615169,-0.0128177696828014,-0.0152456990397113,-0.0115546019958935,-0.0162543879121075,-0.004828490122359,-0.0127448153448234,0.0064161368926782,0.00321598264500139,0.0142197981944545,0.0257844101267642,0.0220287022271946,0.0223124205188779,0.0206546607218889,0.0146608030608816,0.0085754926974477
"20",20,-0.0155396932635436,-0.00777802042929645,-0.0122667543401051,-0.00812517625438979,-0.0075183078404818,-0.0134332026594455,-0.00634365794857361,-0.00348350366935742,0.008946843899023,0.00865218993535506,0.0179639991273899,0.0261897256292455,0.0201275721109979,0.0202480528185767,0.0236484553379235,0.0203211535229952,0.00199606628902473
"21",21,-0.0143247257044342,-0.00366694896949709,-0.00675000777800829,-0.00986781192523783,-0.00392783993172059,-0.0115230263423507,-0.00523959085077341,-0.00736140192615518,0.00547893357845088,0.00727771523127728,0.0171308423706385,0.0264078413355355,0.0208656152694525,0.0162803903598463,0.018027787505549,0.0141871720283597,0.00973037233899478
"22",22,-0.0119714412142093,-0.00552191369811843,-0.0115380061160544,-0.0107959773818215,-0.00784242242088846,-0.00448800250943405,0.00345960413784728,0.00194284850449977,0.015750467622114,0.00842824221427984,0.0164008355183836,0.0247257556597876,0.0214890935865966,0.0230638130540587,0.0168819149569325,0.0163053227455611,0.0123466704330131
"23",23,-0.0129039548215935,-0.000100106514927901,-0.00507642981517759,-0.00268095888609804,-0.000227876915659799,-0.00716595979474579,-0.00823313104404936,-0.00210938186662321,0.0122055518070921,0.00921952924064366,0.022417333070349,0.026330475028203,0.0262936373195004,0.0231554327132775,0.0261321491889812,0.0222275468228206,0.0180042820682679
"24",24,-0.0183100102070017,-0.0081809924297123,-0.0146099827531343,-0.0115830013248715,-0.0132795679362272,-0.0122494828373255,-0.00190792719767916,-0.00856084893608628,0.00347384311477055,0.000762541171121373,0.00936217284607506,0.0226907530081339,0.0138079735384821,0.0148526404948691,0.0156537315658887,0.0150102128238779,0.00948601633676203
"25",25,-0.0153153069795496,-0.00580776514599238,-0.00746602492773163,-0.00740673763927228,-0.00156068148749665,-0.0145489632211882,-0.00564758402804575,-0.0142627971142542,-0.000619034918635477,-0.00565413281426844,0.0042190398406489,0.0204906859212781,0.0200438768247282,0.0220127931833247,0.0235569541409713,0.0183097526403545,0.0185361033830365
"26",26,-0.0146021268064979,-0.00430055837191575,-0.0134461524547148,-0.0150339025744432,-0.0118675426074113,-0.0137984480062243,-0.00401800933279428,-0.0103245276788318,0.00404571397510607,0.00810303685220677,0.0137300337389363,0.0236248575424558,0.0180052802103919,0.0165001152736446,0.0225712754813337,0.00967450252013883,0.012913942182443
"27",27,-0.0170742583504911,0.000189260837305961,-0.0142130478699097,-0.00927149383555312,-0.00728884634023382,-0.00303327459934074,-0.00338047711139973,-0.00840898874654715,0.00667441377684051,8.28804329048722e-05,0.0105132386683401,0.0210093685920495,0.0226480645776561,0.0228925421968562,0.0200668224383351,0.0116041435456695,0.00733116746904944
"28",28,-0.0189523798355136,-0.00785568501632181,-0.00885724848856237,-0.00779866727545886,-0.0080761277660594,-0.00797425170971024,0.000546278889429076,-0.0100420299214806,0.00720900311952309,0.00149798116829505,0.0141342612328605,0.0202948021478591,0.0155269439759417,0.0253292014360403,0.0173783622176213,0.015157224437457,0.014409897565192
"29",29,-0.0150534858606417,-0.00531759224037174,-0.00575933575869064,-0.0091701247570216,-0.00328755621581893,-0.0127791644789411,-0.00425347770244019,-0.00488247153810604,0.00872837831723264,0.00680453278229622,0.0151000442381314,0.0231207617436593,0.0178918212193163,0.0210405082888799,0.0238603181448426,0.0123547257771066,0.0137634507577725
