"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15"
"11",11,-0.0137961950371078,-0.00581079864754713,-0.0104697852137836,-0.00980261376296582,-0.0102725866352061,-0.017956711160042,-0.0109317476723696,-0.00119259399286525,0.00922981294037209,0.00820828323628117,0.0177047401641678,0.0230796259370955,0.0163865725242519,0.0161163924645634,0.0216472871342848,0.0167005600056874
"12",12,-0.0135089867324041,-0.00367277953116914,-0.0100919150772349,-0.00909318507740676,-0.0153518660076535,-0.00301217549458345,-0.00389235765735085,-0.0073007530819103,0.00279303374436157,0.00516591486671154,0.0161671876388331,0.0179456429600044,0.015708239217056,0.0206637059150849,0.0151994056335814,0.00767601861238738
"13",13,-0.0181510475911331,-0.00682074707268233,-0.0203211749000825,-0.00818286155020056,-0.00639141251819843,-0.0116232337831724,-0.00860279792428711,-0.00457413548109376,0.00211456660238462,-0.0071397099323415,0.0121435493937529,0.0172354435504719,0.0204664490674497,0.0178616613659736,0.0150414665984189,0.0127951449350778
"14",14,-0.0137360008538827,-0.0074073413360982,-0.0141852919434555,-0.0152942583151234,-0.0155919441159193,-0.0119987979769639,-0.0116920200265265,-0.0102083139734242,0.00700353349411112,0.00492156405100328,0.0130294740970061,0.0197760851325957,0.0186347781218163,0.0172375746899245,0.0155652777484457,0.0108168221517727
"15",15,-0.0112820141990057,-0.00579351651887146,-0.0163466051822977,-0.0113002189713434,-0.0145596380282169,-0.00553353188455461,-0.00818399592592615,-0.00519853324277621,0.0128164554184349,0.00832264443930032,0.0241759267433029,0.0147772222667028,0.0155134472696656,0.0184213733371611,0.0158582113365847,0.00899717450362827
"16",16,-0.017268081340044,-0.00181189213130338,-0.0150276122590006,-0.011947243086054,-0.0129477294153485,-0.00789617234437951,-0.00296150260795893,-0.0123557745386531,0.00625489669835675,0.00117054295038443,0.0135301002633966,0.0208258338480842,0.0159474988460991,0.0216758713555632,0.0157643859681212,0.00934215992869017
"17",17,-0.0216596279323549,-0.0122939266153981,-0.0241553343018104,-0.0196263339336566,-0.0252368898423021,-0.0168920832932302,-0.00887468124428224,-0.0136934199057273,0.00559127222091827,-0.00358066640141197,0.0127273574165954,0.0109881235457098,0.0109989995648597,0.0113856004801332,0.00713287523621263,0.00618345415316496
"18",18,-0.0142052830984425,-0.00589706864303589,-0.0144281101472285,-0.0113068275308243,-0.0139346325566731,-0.00729706445000166,-0.00275176391063811,-0.0121062050301524,0.00691326135481986,0.00096162915386418,0.0215293919939833,0.0141522219987748,0.0154586105608652,0.0177819666694042,0.0103168268022073,0.00434450580007452
"19",19,-0.0190143092460897,-0.00634956522359955,-0.0162242994138088,-0.0175713732500628,-0.015771889096709,-0.0186091580451392,-0.0100016499616144,-0.0128738004620728,0.00682765239549651,0.00243016800336168,0.0165702261782618,0.0228373047029678,0.020468319237618,0.0197735339574471,0.0163482561725648,0.0129825075734689
"20",20,-0.0147434078998693,-0.00831120205097608,-0.0139486467173224,-0.0106427195108387,-0.0122133206873197,-0.0160430011035309,-0.0132138235550382,-0.00387202690160833,0.0102094732362646,0.00922200218039396,0.0197183641872982,0.0219200448924282,0.0188644867926096,0.0174401410236479,0.020759664201047,0.0182957305307374
