"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17"
"11",11,-0.00165691353834683,-0.00340393858785878,-0.0122425836893959,-0.000614292027978084,-0.0105108599093033,0.000363810526507738,-0.00574662949969099,-0.00180020684941422,-0.0040453542011547,-0.00442027366251231,-0.00861200282700479,0.000303823177514849,0.00102629279959166,0.00710097712973126,0.00771364835463506,0.00119156356184191,-0.00636835420999917,-0.00507742309877241
"12",12,0.00183953654035997,-0.0141086124382876,-0.00252435040266035,-0.00321205367546764,0.000774227368962389,-0.00199135458053694,-2.91507435418102e-05,-0.00622338556032782,3.14865392867429e-05,-0.00492861580696993,-0.00372340017710305,0.00163162585838884,0.00714937896041981,-0.00163197512310895,0.00848637258357191,-0.00529023117446221,-0.0114661339679548,-0.00951882703884011
"13",13,-0.00329352385523286,-0.00929067817806941,-8.99174300498416e-05,-0.00667821075953661,-0.00414590807796933,-0.00328648740200272,-0.00602717439121687,-0.0104159552016222,-0.00843721326521558,-0.00428335643846806,-0.000852772244493544,-0.00329854044999634,-0.00213503085524816,0.00146446871717745,0.00320879730577376,0.000462558490361434,-0.00803683844542725,-0.00466024520608883
"14",14,-0.00639912461860195,-0.00925927952964436,-0.00376104578537636,-0.00247257926962815,-0.00517721115210196,0.000713652601188875,-0.0037214592594532,-0.00222809352590862,-0.00408425127212364,-0.00232903820339525,-0.00206969101024271,0.00470370683298366,0.00298580740123732,-0.000926229009356653,0.00286847366656753,-0.00599734690866079,-0.0101932801190821,-0.0069349272930285
"15",15,0.00365350859984672,-0.0140896387929279,-0.00011193641129913,-0.00729035911248231,-0.000460127929767761,-0.00658954913517626,-0.0021779986919577,-0.00566811974799651,0.00235474262549332,0.000103420155471466,-0.00510292597775583,-0.00425765442762031,0.00233953534843602,0.00413314605615287,0.00754010315908379,-0.00494157352232281,-0.00962269664750779,-0.00529825170882387
"16",16,0.00174702713229506,-0.0136806377117883,-0.00355287633804896,-0.00269326037002155,-0.000901587377627115,-0.00220923784583921,-0.00373343450852744,-0.00487162293412813,-0.00313559603754612,-0.00543113408995685,-0.00355504672428767,-0.00363821608946731,0.00235157705479451,0.00111788479360539,0.00879932010583068,-0.00140580558085651,-0.0114239577387576,-0.0119124762852238
"17",17,0.00211330895504306,-0.0110511700936847,-0.000789227943821346,-0.00678575663024159,0.000965261574839458,-0.00209775623285921,0.000414595452486911,-0.00390227209711164,-0.00161638842726137,-0.0021313518290516,-0.00146982070573908,-0.00152329303201237,0.000243208663452401,-0.00209600544843064,0.0078491319212183,0.000248027219268103,-0.00912174851966134,-0.00717090961811423
"18",18,0.00395355580868138,-0.0147548604267047,-0.0023619304262705,-0.00747178760236741,-0.00170550445165769,-0.00451124038770248,-0.00390576372211082,-0.008025752710341,-0.0021882903000724,-0.00533230077548304,-0.00435120039969377,-0.00304596062211451,0.00130515344641065,-5.36380531316657e-05,0.00694934716579056,-0.00404748517093778,-0.00788124170107474,-0.00637044215789427
"19",19,-0.000217455547449206,-0.0107202290908186,-0.00529396898186853,-0.00280506163720737,-0.00224133793619691,0.00493307664599304,-0.00360772029011661,-0.0014269401997482,-0.00469335341139742,-0.000100261179704717,-0.00209217753188474,3.98633017885855e-05,0.00284004103779269,0.00660837137693487,0.00412564622871107,-0.00445939993591864,-0.00781868813314058,-0.00580951256599325
"20",20,-0.00585867946986392,-0.00485834674334279,-0.00400052923021627,-0.00646928227523533,-0.00186677606234789,0.00271653888217228,-0.00443212989830271,-0.000187199960956121,-0.00186612293440709,0.00169191991146356,-0.00488612338650009,-0.000880011983478941,0.00495677986715166,0.00474043319258505,0.00367409836165878,-0.00420132354808172,-0.0110756669917955,-0.00391152251262443
"21",21,-0.000361945663202167,-0.00647684440299856,-0.00324143269844957,-0.00395239263012861,-0.00494646116710882,-0.000960025988641536,-0.00449777492947392,-0.00311208840280345,0.000130068054498175,0.000859924756713572,-0.000502532260882515,-0.000270039256648351,-0.00166878978878669,0.00609101112303977,0.00752843041672939,-0.00343609369659291,-0.00744236636381247,-0.00297033116309481
