"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18","coef_lag19"
"11",11,0.0107730341964837,0.012296021634772,-0.00633312466106256,-0.00284882008322978,0.0034768442208237,-0.0139574797621558,-0.00611547955378649,-0.0074724503090238,-0.0102045774891363,-0.0189658051804136,-0.015475609828586,-0.00764958775735096,-0.00407286737726849,-0.00392839208850834,-0.00571305263225428,0.0231153904021176,0.0234226515966655,0.00228509511616117,-0.00218926795232167,-0.00799761838241109
"12",12,0.00757618847822701,0.0131036927901313,-0.00456153461005618,-0.000405265426052894,-0.00367353169095996,-0.0104374604349895,-0.00503775344600937,-0.0052861753514399,-0.0117053707329412,-0.0188152630346968,-0.0128403830223883,-0.00856147067558568,-0.00848775458633431,0.00163334079491059,-0.00300599508380904,0.0238427555659351,0.0228468376753482,0.00484385036323533,0.00193119270258999,-0.00540572724924378
"13",13,0.0133361689957841,0.00676147646354131,-0.0138549120516196,0.00464286939275403,0.0028735534882236,-0.0128033381151012,0.00199608913388686,0.00510214949870411,-0.0053887702214268,-0.0229524271733122,-0.0149387017674473,-0.000818175777281364,-0.00499622363956065,-0.00300453902411738,0.000419759256110799,0.0257050918173657,0.0209329059260126,-0.00383472443739615,-0.00245465245020309,-0.00855418753807584
"14",14,0.0121843646695589,0.010712848551594,-0.0049122541951671,0.00245487751065443,-0.00116636035663643,-0.0124146874265161,-0.00290678383660919,-0.00441531883703282,-0.0100635781265626,-0.01835595169977,-0.0125923909397482,-0.00672872168351122,-0.0101785992543306,0.00122340156575591,-0.0026899142818808,0.0251414362284491,0.0226124326137742,0.00402982379588532,0.0010252776191888,-0.00645714767093201
"15",15,0.0052866917987349,0.0143729604435364,-0.00652029551947965,0.0049075924884236,-0.00727540441993325,-0.00624061414673948,-0.00356939245262691,-0.00585112650769492,-0.0156082158583219,-0.0195352780545602,-0.01155470689887,-0.00541399588429392,-0.00892384239428793,0.000367486837680083,-0.00235000034234813,0.0258619682500655,0.0212929844248079,0.00631463048628601,0.00164958865203015,-0.00697769715561182
"16",16,0.00896889712133446,0.00878144155846711,-0.00904595873648048,0.00202276378085999,-0.000895650799573002,-0.0116029229077674,-0.00242280114474969,-0.00234974597769809,-0.0103031114844183,-0.0188599833588685,-0.0141505759013355,-0.00223922819895601,-0.0109204889675899,0.00010973698628212,-0.00397100925103213,0.0254281972532205,0.0224974456852505,0.0041742799004221,0.000437737578984314,-0.0076464620356494
"17",17,0.007138441039093,0.00851173702742345,-0.0070601928891391,0.00436756966667702,-0.00543307201421375,-0.00917457020096783,-0.00517421340970815,-0.0043720877286154,-0.011182297498965,-0.0168891179552473,-0.0124795396775828,-0.00433140440524394,-0.00803259151710288,0.00226208173955464,-0.00416092325204625,0.0194424430512095,0.0187831107698791,0.00498204325545404,0.00245560941793301,-0.00676451782236605
"18",18,0.00718247281187811,0.0145344039641066,-0.0105130469757266,0.00470603490633983,-5.899338790409e-05,-0.0113265853760331,-0.00523920015065948,-0.00169140904961326,-0.00976551303167573,-0.0175692887725613,-0.0141897152601606,-0.00301637618819721,-0.00632006037777133,-5.73391454162025e-06,-0.00524151423818589,0.0245395917759329,0.0233737711391862,0.00165208759628629,-0.00108925035478691,-0.00724536278006383
"19",19,0.0105844124966432,0.015753376470796,-0.0116051546698067,0.00367125505608817,-0.00513591599726038,-0.0122523284095567,-0.00453221539194082,-0.00233497752066876,-0.0124268347612496,-0.0192256545816067,-0.0189388487597351,-0.00664568615489579,-0.0125383699048197,-0.00153499900862264,-0.00301524467385085,0.029236100644672,0.0210832840585376,0.0069849918031672,-0.00360050470140869,-0.00532673249004116
"20",20,0.00933341414148493,0.0084930856909805,-0.00895721106910743,0.00527464897342518,-0.0080743933896714,-0.0120467670123076,-0.00557503265600155,-0.00785720271817818,-0.0183080416915711,-0.0209363126248992,-0.0131822975073851,-0.00363520803807236,-0.0131111780516374,0.00458616233033721,0.000526182536434523,0.0262624844904818,0.0208286348489048,0.00264187390375251,-0.000482257660652451,-0.00802749120023117
"21",21,0.0107252132639906,0.00746128851016768,-0.00830158474272298,-0.00109339865687399,0.00393307579092153,-0.015115081174185,-0.00197577114851532,-0.00273555500294601,-0.00921132456373881,-0.0256460401355802,-0.0165088774765503,-0.00625616988044022,-0.00375274188600247,-0.00601858648923486,-0.00214450613873461,0.0270123509814538,0.0242995829823464,-0.000588497433841177,-0.00327494308683569,-0.00654114775015966
"22",22,0.00937070369246577,0.00948119285618042,-0.00998666890242707,-0.000966886625232238,0.00144380770685433,-0.0159170811828095,-0.000302194542154002,-0.00366690279593412,-0.0071778929071422,-0.0252210622400295,-0.0118373250839841,-0.00772276514367661,-0.00299247818673191,-0.00292183622839496,0.00080684325523226,0.0253650857023391,0.0239078469851168,-0.00376351573062605,-5.13564681814667e-05,-0.0101234042323059
